signal_type,mass_GeV,selected_signal_xs_pb,source
vector,10.000,0.0010695169,frozen_baseline/results/vector_scan_fresh.csv
scalar,10.000,0.000362852176131,fair_study/rigorous/development_frozen scalar-10 configuration
