signal_type,mass_GeV,replicates,hierarchical_bootstrap_replicates,hierarchical_bootstrap_seed,selected_profile_counts,selected_box_grid_counts,bdt_RZ_geometric_mean,box_RZ_geometric_mean,RZ_ratio_geometric_mean,between_seed_sd_log_RZ_ratio,seed_win_fraction,hierarchical_RZ_ratio_q025,hierarchical_RZ_ratio_q16,hierarchical_RZ_ratio_q50,hierarchical_RZ_ratio_q84,hierarchical_RZ_ratio_q975,hierarchical_coupling_q025,hierarchical_coupling_q16,hierarchical_coupling_q50,hierarchical_coupling_q84,hierarchical_coupling_q975,familywise_one_sided_coupling_lower,replicates_with_paired_95pct_RZ_ratio_above_one,min_signal_neff,min_background_neff,max_signal_weight_fraction,max_background_weight_fraction,statistical_superiority,practical_superiority_gt_1pct_coupling,practical_equivalence_within_1pct_coupling,verdict
vector,1.0,10,20000,8300099,depth2:2;depth3:4;depth4:0;depth3_800:4,q40:9;q80:0;q160:1,0.9997745380122718,0.9999706650663712,0.9998038671930194,0.0004721701359340634,0.4,0.9994294965248058,0.9996387086443619,0.9998228903288922,0.9999747421917728,1.0000820630091425,-0.0002853738484830337,-0.000180694641852579,-8.856660022871221e-05,-1.2629143352542728e-05,4.102897936739123e-05,-0.0003190726630062396,1,12599.2950541,6320.40772293,0.000169323914821,0.00891898758003,0,0,1,practical equivalence
vector,10.0,10,20000,8300099,depth2:6;depth3:1;depth4:3;depth3_800:0,q40:4;q80:4;q160:2,1.0022726605686236,1.0034548073432576,0.9988219232545765,0.0014471360188444999,0.2,0.9971758301031672,0.9980403752753724,0.9988616620135737,0.9996643671380137,1.0004148253743332,-0.001415082980936555,-0.0009812547663940307,-0.0005696553846665786,-0.00016785868634570993,0.00020734817943145455,-0.0015321644345153151,0,10888.6478294,12524.3998962,0.0013011984222,0.00162122361999,0,0,1,practical equivalence
scalar,1.0,10,20000,8300099,depth2:5;depth3:3;depth4:2;depth3_800:0,q40:2;q80:4;q160:4,1.0472829128650987,1.046692372424932,1.0005641967548362,0.0027759738371440465,0.8,0.9983399598938697,0.9995032398890251,1.0006234091320536,1.0016797049918171,1.0026375739611753,-0.0008310548846839239,-0.00024847263280363123,0.00031155890208994785,0.0008387959463888395,0.0013161839027890261,-0.0010150236721037514,0,11750.3651265,11739.4241807,0.000339447575994,0.000527005262694,0,0,1,practical equivalence
scalar,6.31,10,20000,8300099,depth2:6;depth3:4;depth4:0;depth3_800:0,q40:4;q80:2;q160:4,1.0221673827928728,1.0240405605870069,0.9981707972652939,0.0020740527485278494,0.0,0.9963759653216919,0.9973462628692428,0.9982343719148987,0.9991010589960702,0.9999061852752126,-0.0018169573707060294,-0.0013295152894037797,-0.0008839848062391908,-0.0004497737647516598,-4.6910663112643724e-05,-0.001937616342975862,0,9024.89265341,12513.2641404,0.000678278682432,0.000555070377841,0,0,1,practical equivalence
