signal_type,mass_GeV,replicates,hierarchical_bootstrap_replicates,hierarchical_bootstrap_seed,selected_profile_counts,selected_box_grid_counts,bdt_RZ_geometric_mean,box_RZ_geometric_mean,RZ_ratio_geometric_mean,between_seed_sd_log_RZ_ratio,seed_win_fraction,hierarchical_RZ_ratio_q025,hierarchical_RZ_ratio_q16,hierarchical_RZ_ratio_q50,hierarchical_RZ_ratio_q84,hierarchical_RZ_ratio_q975,hierarchical_coupling_q025,hierarchical_coupling_q16,hierarchical_coupling_q50,hierarchical_coupling_q84,hierarchical_coupling_q975,familywise_one_sided_coupling_lower,replicates_with_paired_95pct_RZ_ratio_above_one,min_signal_neff,min_background_neff,max_signal_weight_fraction,max_background_weight_fraction,statistical_superiority,practical_superiority_gt_1pct_coupling,practical_equivalence_within_1pct_coupling,verdict
vector,10.0,10,20000,9400099,depth2:0;depth3:1;depth4:4;depth3_800:5,q40:8;q80:2;q160:0,1.2860648071880825,1.2552386994357212,1.024557964765804,0.0026818391652084265,1.0,1.0219766878439955,1.0233062232913936,1.0245956063421788,1.0258608253732102,1.0270597504682737,0.010810482755267784,0.011453296195815397,0.012075501001952593,0.012684904577896389,0.013261337689522238,0.010810482755267784,10,10793.9536194,11918.1458082,0.000774434802135,0.000311924137497,1,1,0,practical BDT superiority
scalar,10.0,10,20000,9400099,depth2:1;depth3:4;depth4:4;depth3_800:1,q40:3;q80:3;q160:4,1.3040027323067058,1.2687311204096048,1.027800698925028,0.004247218351882894,1.0,1.024566624799894,1.0261153915483097,1.0277899678058633,1.0295283606303742,1.031296048087291,0.012061528570823769,0.012807382332272067,0.013611925711860429,0.01444505206005311,0.015290056894176937,0.012061528570823769,10,9137.69076452,12004.0084182,0.0013145467421,0.000474092366078,1,1,0,practical BDT superiority
