signal_type,mass_GeV,feature_set,selected_profile,model_seed,box_quantiles,bdt_RZ,box_RZ,RZ_ratio,coupling_advantage,coupling_q025,coupling_q05,coupling_q50,coupling_q975,bootstrap_valid,bootstrap_invalid,primary_bonferroni_lower,bdt_signal_efficiency,bdt_photon_efficiency,box_signal_efficiency,box_photon_efficiency,signal_neff,background_neff,signal_max_weight_fraction,background_max_weight_fraction
scalar,0.01,electron,depth2,721100,160,1.00063800344,1.00464110313,0.996015393283,-0.00199827710668,-0.00331957280831,-0.00310245327179,-0.00198602898647,-0.000665752885336,50000,0,-0.00392573085147,0.919565870159,0.836213473386,0.950623717247,0.889762214332,28108.7984434,31865.0305803,0.00012686821778,7.89263375414e-05
scalar,0.01,electron_qa2,depth2,721110,160,1.00309067699,1.00464110313,0.99845673631,-0.000772526118709,-0.00200099292417,-0.00180221365866,-0.00076892891531,0.000435820548572,5000,0,NA,0.934037091362,0.859951864981,0.950623717247,0.889762214332,28108.7984434,31865.0305803,0.00012686821778,7.89263375414e-05
scalar,0.032,electron,depth3_800,721200,40,0.999286227807,1.00102432423,0.998263682126,-0.000869291125317,-0.00179410571331,-0.0016475489996,-0.000866021277738,6.02848143656e-05,50000,0,-0.00220446796063,0.935110548734,0.869036749606,0.951530047766,0.898402722211,30342.8749799,32647.662473,7.98058641853e-05,0.000100247471857
scalar,0.032,electron_qa2,depth4,721210,40,0.999243210712,1.00102432423,0.998220709049,-0.000890834442012,-0.00191326055508,-0.00176840383022,-0.000883312651607,0.000135087520058,5000,0,NA,0.961783006441,0.922495959253,0.951530047766,0.898402722211,30342.8749799,32647.662473,7.98058641853e-05,0.000100247471857
scalar,0.1,electron,depth3,721300,80,1.0020131774,1.00039461309,1.00161792585,0.000807982614398,-0.000440011328091,-0.000244873582308,0.00081063899122,0.00206758363019,50000,0,-0.000994915447039,0.951079296663,0.89562513558,0.920189098136,0.837853342521,29498.4208554,31701.1230348,8.13760256903e-05,6.43755675418e-05
scalar,0.1,electron_qa2,depth2,721310,160,1.00214521087,1.0003699687,1.00177458563,0.000886113626597,-0.000282253764699,-8.35064567834e-05,0.000896379994808,0.00204741777073,5000,0,NA,0.940839012033,0.875053075835,0.923590376538,0.844498764909,29498.4208554,31701.1230348,8.13760256903e-05,6.43755675418e-05
scalar,0.316,electron,depth2,721400,160,0.998787164256,1.000590232,0.99819799586,-0.000902221608761,-0.00191922163106,-0.00175809875182,-0.000905865603621,0.000103182413046,50000,0,-0.00235528401631,0.937161421491,0.8740137069,0.950876299367,0.897920172925,25093.8169351,30984.5864836,0.000109213728079,6.92781182643e-05
scalar,0.316,electron_qa2,depth2,721410,160,1.00030937477,1.000590232,0.999719308449,-0.000140375327842,-0.00150186565586,-0.00128841166898,-0.000145414865045,0.00121170984731,5000,0,NA,0.93099377758,0.859062696718,0.950876299367,0.897920172925,25093.8169351,30984.5864836,0.000109213728079,6.92781182643e-05
scalar,1,electron,depth2,721500,160,1.0493147417,1.04804685254,1.00120976382,0.000604333639248,-0.00107141350428,-0.000813688671733,0.000605058372346,0.00228655534207,50000,0,-0.0018002783145,0.925757188555,0.756618377155,0.881455960091,0.67864697702,29528.4510247,30285.1049234,0.000146276941566,9.3957848536e-05
scalar,1,electron_qa2,depth2,721510,40,1.04719448773,1.04947744925,0.997824668337,-0.00108944358011,-0.00284463577212,-0.00258288008149,-0.00110064148224,0.000688706792282,5000,0,NA,0.933923092842,0.775289730441,0.877929848418,0.670345475691,29528.4510247,30285.1049234,0.000146276941566,9.3957848536e-05
scalar,1.585,electron,depth2,721600,40,1.10767002999,1.10409854786,1.00323474941,0.00161346140225,0.000329563973447,0.000534592107126,0.00161792908878,0.00289113630438,50000,0,-0.000261186666998,0.859277191635,0.56272154339,0.864116045018,0.57451577455,27421.0489264,31265.6055599,0.000365422512839,7.47805298626e-05
scalar,1.585,electron_qa2,depth3,721610,40,1.11018718341,1.10799085043,1.00198226635,0.000989662086582,-0.000672946179522,-0.000406569574071,0.000981177712983,0.00272503019181,5000,0,NA,0.875500651503,0.584803351865,0.854931619328,0.555675667151,27421.0489264,31265.6055599,0.000365422512839,7.47805298626e-05
scalar,2.512,electron,depth4,721700,80,1.1016969325,1.10200259359,0.999722631243,-0.000138713235257,-0.00133176962737,-0.00113436180696,-0.000134715717104,0.00105767201416,50000,0,-0.0018953113324,0.819900985293,0.497274284756,0.82188489816,0.499950380326,28073.9345623,29899.6475184,0.000288835106222,7.28398126594e-05
scalar,2.512,electron_qa2,depth2,721710,160,1.11543830366,1.10670819836,1.00788835333,0.00392099421383,0.00204796131494,0.00230011144018,0.0039185797731,0.00588059213812,5000,0,NA,0.812278782119,0.470724829587,0.843887457336,0.528351179589,28073.9345623,29899.6475184,0.000288835106222,7.28398126594e-05
scalar,3.981,electron,depth2,721800,40,1.03662324428,1.03828142755,0.998402953935,-0.000799480765555,-0.00226908203075,-0.0020308396298,-0.000805583208733,0.000646226458687,50000,0,-0.00288995061053,0.896804136883,0.704740577163,0.889262299154,0.687271581371,26564.3460067,31631.6345594,0.000214778906144,6.87647563555e-05
scalar,3.981,electron_qa2,depth3,721810,80,1.07788392302,1.07234889244,1.0051615949,0.00257084945911,0.000681312972874,0.00102325965713,0.00258184398041,0.00441535438543,5000,0,NA,0.885629515981,0.618655527812,0.882625583448,0.621434677319,26564.3460067,31631.6345594,0.000214778906144,6.87647563555e-05
scalar,5,electron,depth4,721900,160,1.02506418789,1.02913087976,0.996048421103,-0.00198166441386,-0.00315334328905,-0.00297666551598,-0.00198557338008,-0.000804720575268,50000,0,-0.00367335195153,0.950165015823,0.833091943892,0.942119458408,0.808017461122,25626.8183684,31094.2345711,0.00018294651847,8.35069398093e-05
scalar,5,electron_qa2,depth3_800,721910,40,1.08518417076,1.0726949733,1.01164282276,0.0057710663652,0.00437726384027,0.00459186963937,0.00576508980346,0.00713129188501,5000,0,NA,0.938232285288,0.700678132497,0.931904793789,0.709241477389,25626.8183684,31094.2345711,0.00018294651847,8.35069398093e-05
scalar,6.31,electron,depth3,722000,80,1.02421219229,1.02420843963,1.00000366396,1.83197390446e-06,-0.0016386091654,-0.0013865855238,-6.37699774397e-06,0.00162843164413,50000,0,-0.00234159336877,0.889073625544,0.706355701695,0.914133935049,0.757683591351,25632.2904023,32118.2071618,0.000395811357223,6.85043492421e-05
scalar,6.31,electron_qa2,depth3_800,722010,40,1.11315587768,1.1022225003,1.0099193923,0.00492310065022,0.00301920865989,0.00335904636428,0.00494701165898,0.00679895449557,5000,0,NA,0.935657106514,0.650354457957,0.916447401678,0.632246717161,25632.2904023,32118.2071618,0.000395811357223,6.85043492421e-05
scalar,10,electron,depth2,722100,160,1.04840501832,1.04816286016,1.00023103105,0.000115495512349,-0.00160784710562,-0.00132833553951,0.000113244286231,0.00182146923198,50000,0,-0.00237311749604,0.879147167744,0.646378160811,0.882496154519,0.653162878282,23189.4503836,30957.758414,0.000205101284661,0.000292724736373
scalar,10,electron_qa2,depth3_800,722110,80,1.3053301421,1.26972096229,1.02804488614,0.0137342277608,0.011488412239,0.0119108869558,0.0137311415215,0.0158881172978,5000,0,NA,0.944743517159,0.432706365659,0.908592416078,0.418689866625,23189.4503836,30957.758414,0.000205101284661,0.000292724736373
vector,0.01,electron,depth3,720000,40,1.00003059188,1.00002785441,1.00000273739,1.36869182221e-06,-2.34555570175e-05,-1.90434971218e-05,1.4374710865e-06,2.56485696494e-05,50000,0,-3.60328075726e-05,1,0.999935549031,1,0.999941316082,32060.8717809,31865.0305803,9.71604679541e-05,7.89263375414e-05
vector,0.01,electron_qa2,depth2,720010,40,0.999520485097,0.998667409774,1.00085421364,0.000426833383961,0.000189150975703,0.000224215395925,0.000428352857717,0.000680058086622,5000,0,NA,0.999381170081,0.999706357324,0.998639593253,0.999941316082,32060.8717809,31865.0305803,9.71604679541e-05,7.89263375414e-05
vector,0.032,electron,depth2,720100,40,0.999831252678,0.999981537504,0.999849712399,-7.51522715332e-05,-0.000208088778253,-0.000185406603866,-7.3171418892e-05,5.0635594763e-05,50000,0,-0.000273714173955,0.999696989581,0.999717092798,0.999946798131,0.999926807655,31250.0173117,32647.662473,0.000280306944626,0.000100247471857
vector,0.032,electron_qa2,depth3,720110,40,0.999905412284,0.999792974809,1.00011246076,5.62256362583e-05,-3.13650280918e-05,-1.89983238257e-05,5.44621662692e-05,0.00014680926074,5000,0,NA,0.999837451948,0.999856805924,0.999792974809,1,31250.0173117,32647.662473,0.000280306944626,0.000100247471857
vector,0.1,electron,depth4,720200,40,0.999882262941,1.00005117284,0.999831098742,-8.44613284823e-05,-0.000232997646623,-0.000207639630033,-8.33462409534e-05,5.7497853252e-05,50000,0,-0.00030204766136,0.99968196516,0.999577985878,0.999925086737,0.999734379958,30627.2263639,31701.1230348,7.62551166077e-05,6.43755675418e-05
vector,0.1,electron_qa2,depth2,720210,40,0.999593023811,1.00005117284,0.999541874412,-0.000229141528607,-0.000410875484551,-0.000382931214653,-0.000225913050577,-6.3718121893e-05,5000,0,NA,0.999411556273,0.999617545725,0.999925086737,0.999734379958,30627.2263639,31701.1230348,7.62551166077e-05,6.43755675418e-05
vector,0.316,electron,depth3_800,720300,40,0.999915720864,0.999832790753,1.00008294398,4.14694101425e-05,-6.1579122605e-05,-4.59407856615e-05,3.93645590866e-05,0.000152892993467,50000,0,-0.000106446902413,0.999887513446,0.999940565717,0.999810274168,0.999952552485,31177.2598434,30984.5864836,6.41046858952e-05,6.92781182643e-05
vector,0.316,electron_qa2,depth3_800,720310,40,0.999150746693,0.999924669626,0.999226018762,-0.000387215406357,-0.000679932555984,-0.000627731895262,-0.000387403243701,-0.000103136573512,5000,0,NA,0.998234453731,0.998068710584,0.999902150972,0.999952552485,31177.2598434,30984.5864836,6.41046858952e-05,6.92781182643e-05
vector,1,electron,depth3,720400,160,0.999833520374,0.998946119766,1.00088833681,0.00044387269468,-0.000100269248739,-1.27926089881e-05,0.000443910997727,0.000993556832803,50000,0,-0.000337838286547,0.999139234081,0.998475465717,0.994534100195,0.990321404326,32372.4405194,30285.1049234,0.000123701049402,9.3957848536e-05
vector,1,electron_qa2,depth2,720410,160,0.998883309806,1.00027954656,0.998604153445,-0.000698654773575,-0.00142300640689,-0.00131133453572,-0.000700895238894,1.864161851e-05,5000,0,NA,0.994536510178,0.990463566271,0.991851562775,0.981573368659,32372.4405194,30285.1049234,0.000123701049402,9.3957848536e-05
vector,1.585,electron,depth4,720500,160,0.998811974042,1.00094607844,0.997867912722,-0.00106775134705,-0.00185844725334,-0.00172420096719,-0.0010678027694,-0.00028642376232,50000,0,-0.00222797048536,0.990518151536,0.981838938416,0.996460335454,0.990179658799,32483.9474714,31265.6055599,8.3469835108e-05,7.47805298626e-05
vector,1.585,electron_qa2,depth3_800,720510,40,1.01128286603,1.0110581418,1.00022226637,0.000111114664248,-0.000252756598317,-0.000195208039966,0.000114981093552,0.000478207061314,5000,0,NA,0.9889674086,0.952071708383,0.991927185198,0.958836783065,32483.9474714,31265.6055599,8.3469835108e-05,7.47805298626e-05
vector,2.512,electron,depth4,720600,40,0.994036231256,0.998571888238,0.995457856329,-0.00227883788734,-0.00395852808654,-0.00367969426849,-0.00228273975784,-0.000620488309571,50000,0,-0.00474654237878,0.941338119251,0.883690891253,0.983568511082,0.966393530723,31656.0768809,29899.6475184,0.000485055748162,7.28398126594e-05
vector,2.512,electron_qa2,depth4,720610,80,1.02832870287,1.02751351512,1.00079335964,0.000396443944501,-0.000334754271601,-0.00020941985731,0.00039975128836,0.00108375526552,5000,0,NA,0.980270373329,0.897137723331,0.976739263582,0.891387688259,31656.0768809,29899.6475184,0.000485055748162,7.28398126594e-05
vector,3.981,electron,depth3_800,720700,40,0.999715926929,0.999993392061,0.999722533035,-0.000138762359827,-0.000321904593257,-0.000290760095454,-0.000137102108711,3.22326439694e-05,50000,0,-0.000408659137611,0.999323823793,0.999079508494,0.999977114919,0.99996179161,30143.691173,31631.6345594,0.000301880450729,6.87647563555e-05
vector,3.981,electron_qa2,depth4,720710,40,1.04327387585,1.03824808563,1.00484064482,0.00241157076387,0.00135614243699,0.0015289004818,0.00241275923478,0.0035080488367,5000,0,NA,0.980861463253,0.863772396986,0.962483411414,0.834954171007,30143.691173,31631.6345594,0.000301880450729,6.87647563555e-05
vector,5,electron,depth2,720800,160,1.00003175488,0.999963686706,1.00006807064,3.40335836365e-05,-4.46111791887e-05,-3.11512576223e-05,3.48748307599e-05,0.000110537695841,50000,0,-8.32689563101e-05,0.999947168665,0.999799468631,0.999914336252,0.999882993197,29438.5139016,31094.2345711,0.00012533890718,8.35069398093e-05
vector,5,electron_qa2,depth4,720810,80,1.06169068639,1.05060765179,1.01054916608,0.00523321470823,0.00429661345344,0.00446504185048,0.00522163489625,0.00618719981982,5000,0,NA,0.974876008215,0.814056634206,0.967618166611,0.820114310454,29438.5139016,31094.2345711,0.00012533890718,8.35069398093e-05
vector,6.31,electron,depth2,720900,40,0.999721969245,1,0.999721969245,-0.000139044372174,-0.000746952531939,-0.000645590280187,-0.000135086497424,0.000457062651945,50000,0,-0.00102381871994,0.994225013292,0.98693469098,1,1,27891.8898807,32118.2071618,0.000141909727857,6.85043492421e-05
vector,6.31,electron_qa2,depth3_800,720910,40,1.09008424632,1.08174699013,1.00770721459,0.00383147397318,0.00249525000026,0.00271356486908,0.00381364921893,0.00520628238514,5000,0,NA,0.966627230481,0.745427601479,0.960016462934,0.746956123465,27891.8898807,32118.2071618,0.000141909727857,6.85043492421e-05
vector,10,electron,depth4,721000,80,1.00153215315,1.00266265401,0.998872501276,-0.000564226530523,-0.00211476946698,-0.00186708544433,-0.000569140247739,0.000973734699866,50000,0,-0.0027834743565,0.914029530023,0.800919045066,0.900163389375,0.768872057821,27068.2876242,30957.758414,0.000164865405533,0.000292724736373
vector,10,electron_qa2,depth3_800,721010,160,1.28276441615,1.25363748902,1.02323393117,0.0114183760873,0.00961571629386,0.00987734023262,0.0114137966352,0.0131596424386,5000,0,NA,0.932793233681,0.438611093717,0.930337862754,0.464756640515,27068.2876242,30957.758414,0.000164865405533,0.000292724736373
