replicate,RZ_ratio,log_RZ_ratio,coupling_advantage
0,1.00068804055,0.000687803957384,0.000343842851185
1,0.999659069759,-0.000340988371335,-0.000170508720627
2,1.00103293128,0.00103239817439,0.000516065879368
3,1.00088585209,0.000885459952858,0.000442631985975
4,1.0008139002,0.000813569158449,0.000406701853595
5,0.999909259813,-9.07443045268e-05,-4.5373181595e-05
6,1.0003312225,0.000331167660521,0.000165570122015
7,0.999943001949,-5.69996754916e-05,-2.850024387e-05
8,1.00079717081,0.000796853235898,0.000398347256604
9,1.00106165402,0.00106109086672,0.000530404719016
10,0.999576862272,-0.000423227275726,-0.000211636029608
11,1.00033488251,0.000334826448899,0.000167399211638
12,1.00004087415,4.08733129512e-05,2.04364476486e-05
13,1.0010766187,0.00107603956039,0.000537875073506
14,1.00045917026,0.000459064876357,0.000229506097624
15,0.999994072247,-5.92777043965e-06,-2.96388961218e-06
16,1.000706184,0.00070593477323,0.000352905100956
17,1.00019957231,0.000199552399255,9.9771222148e-05
18,1.00013541163,0.00013540246358,6.76989401132e-05
19,1.0007158645,0.000715608391416,0.000357740191421
20,1.00031503026,0.000314980644793,0.000157477921447
21,1.00040451,0.000404428209648,0.00020219366093
22,0.999881399168,-0.000118607865734,-5.93056913798e-05
23,1.00012438978,0.000124382049093,6.21890907251e-05
24,1.00030469475,0.000304648335721,0.000152312567123
25,0.999905138748,-9.48657519784e-05,-4.74340009458e-05
26,0.999980632205,-1.93679828876e-05,-9.68403833368e-06
27,0.999888841629,-0.000111164549427,-5.55838194367e-05
28,1.00045379706,0.00045369412203,0.000226821333166
29,0.99999715495,-2.84505418664e-06,-1.42252810509e-06
30,1.00032846238,0.00032840845108,0.000164190744764
31,0.999799192348,-0.000200827816696,-0.000100418949993
32,0.999619403391,-0.000380669053881,-0.000190352641706
33,1.00037937688,0.000379304935204,0.00018963448471
34,1.00073187135,0.000731603664985,0.000365734935159
35,0.999134889748,-0.000865484675587,-0.000432835984267
36,1.00007320361,7.32009314112e-05,3.65997959167e-05
37,1.00021943017,0.00021940609747,0.000109697031576
38,1.00026405269,0.000264017831324,0.000132000202869
39,1.00030227638,0.000302230698707,0.000151103932004
40,1.00096898594,0.00096851677326,0.000484141152462
41,0.999607553639,-0.000392523387821,-0.000196280954497
42,1.00098630939,0.00098582330802,0.000492790193018
43,1.00037689236,0.000376821356017,0.000188392929832
44,1.00006194415,6.19422331348e-05,3.09706369673e-05
45,1.00057865631,0.000578488956855,0.000289202651276
46,1.00032396236,0.000323909897754,0.000161941834882
47,1.00000314992,3.14991691256e-06,1.57495721609e-06
48,1.00022532697,0.000225301586185,0.00011264444823
49,1.0005051907,0.000505063136982,0.000252499685078
50,1.00099971787,0.000999218487807,0.000499484459987
51,0.999896606074,-0.000103399271893,-5.17009723955e-05
52,1.00036015047,0.000360085629318,0.000180026607924
53,1.00040233865,0.000402257730651,0.000201108640271
54,1.0006772421,0.000677012871636,0.000338449148979
55,1.00007019268,7.01902215124e-05,3.50944949299e-05
56,1.00063990282,0.000639698169892,0.000319797938681
57,0.999892159172,-0.000107846643062,-5.39247754194e-05
58,1.00015549501,0.000155482926312,7.77384413667e-05
59,0.999879873605,-0.000120133611206,-6.00686096499e-05
60,1.00064920269,0.000648992048183,0.000324443380951
61,1.00002186256,2.18623196909e-05,1.09311001005e-05
62,0.99929629207,-0.000703955648175,-0.00035203977555
63,1.0007066236,0.000706374058573,0.00035312466609
