signal_type,mass_GeV,feature_set,ml_auc,ml_signal_efficiency,ml_photon_efficiency,ml_RZ_vs_paper_preselection,ml_coupling_gain_vs_paper_preselection,optimized_cut_signal_efficiency,optimized_cut_photon_efficiency,optimized_cut_RZ_vs_paper_preselection,optimized_cut_coupling_gain_vs_paper_preselection,ml_RZ_relative_to_optimized_cut,ml_coupling_gain_relative_to_optimized_cut,train_signal_entries,train_background_entries,evaluation_signal_entries,evaluation_background_entries
scalar,1,electron,0.667472248539,0.899833037181,0.723766387025,1.04011507921,0.0194735719472,0.859705344885,0.659965070228,1.03470407177,0.0169130729921,1.005229521742138,0.002604549898534647,22091,21845,14439,14495
scalar,1,electron_qa2,0.667322248471,0.865061644443,0.661473972232,1.04011605695,0.0194740328074,0.85770173704,0.655890460673,1.03507809484,0.0170907071293,1.0048672289898848,0.0024247666554702008,22091,21845,14439,14495
scalar,6.31,electron,0.696790058531,0.950543271584,0.827349288565,1.02794132856,0.0136845494787,0.918411653257,0.756431033175,1.02968097281,0.0145180908316,0.9983105017030154,-0.0008458210594441962,22006,22767,14369,14630
scalar,6.31,electron_qa2,0.748671967026,0.938170932951,0.646414536133,1.11876804802,0.0545687074691,0.90371477484,0.618633803869,1.09600418142,0.0448009222437,1.0207698720368994,0.010225915680087017,22006,22767,14369,14630
vector,10,electron,0.680833609442,0.934691298077,0.83148388987,1.00875357868,0.00434826292959,0.973763998211,0.930990201426,1.00325434397,0.00162321119166,1.005481396360806,0.0027294822613788128,22049,22689,14772,14751
vector,10,electron_qa2,0.823011195182,0.937415346581,0.441121760895,1.28655951631,0.118372640307,0.905610798658,0.438099652308,1.24588934693,0.104098499828,1.0326434843352787,0.0159327118863839,22049,22689,14772,14751
vector,1,electron,0.53035036933,1,0.999553702482,1.00020327303,0.000101621023843,1,1,1,0,1.00020327303,0.00010162102265243167,22919,21845,14976,14495
vector,1,electron_qa2,0.527538111589,0.991399145241,0.984255228419,0.998583850563,-0.000708827662032,0.991673315832,0.982511688401,0.999665491317,-0.000167296313998,0.998917997306704,-0.0005414407665627063,22919,21845,14976,14495
