class,mass_GeV,pt_low_GeV,pt_high_GeV,log10_t_low,log10_t_high,weighted_probability_percent
Photon proxy,1,1.45555555556,1.63333333333,-5.375,-5.25,0.416863153413
Photon proxy,1,1.45555555556,1.63333333333,-5.25,-5.125,0.445144355879
Photon proxy,1,1.45555555556,1.63333333333,-5.125,-5,0.58565876611
Photon proxy,1,1.45555555556,1.63333333333,-5,-4.875,0.634926087693
Photon proxy,1,1.45555555556,1.63333333333,-4.875,-4.75,0.719753338355
Photon proxy,1,1.45555555556,1.63333333333,-4.75,-4.625,0.787254909522
Photon proxy,1,1.45555555556,1.63333333333,-4.625,-4.5,0.88176234232
Photon proxy,1,1.45555555556,1.63333333333,-4.5,-4.375,0.918480964515
Photon proxy,1,1.45555555556,1.63333333333,-4.375,-4.25,0.998939372362
Photon proxy,1,1.45555555556,1.63333333333,-4.25,-4.125,0.86184235317
Photon proxy,1,1.45555555556,1.63333333333,-4.125,-4,0.891884645449
Photon proxy,1,1.45555555556,1.63333333333,-4,-3.875,0.986055035888
Photon proxy,1,1.45555555556,1.63333333333,-3.875,-3.75,1.00145277114
Photon proxy,1,1.45555555556,1.63333333333,-3.75,-3.625,1.05702468214
Photon proxy,1,1.45555555556,1.63333333333,-3.625,-3.5,0.994736571622
Photon proxy,1,1.45555555556,1.63333333333,-3.5,-3.375,1.1058628458
Photon proxy,1,1.45555555556,1.63333333333,-3.375,-3.25,0.960506067855
Photon proxy,1,1.45555555556,1.63333333333,-3.25,-3.125,1.03594061767
Photon proxy,1,1.45555555556,1.63333333333,-3.125,-3,0.896254026526
Photon proxy,1,1.45555555556,1.63333333333,-3,-2.875,0.935883068496
Photon proxy,1,1.45555555556,1.63333333333,-2.875,-2.75,0.739684126845
Photon proxy,1,1.45555555556,1.63333333333,-2.75,-2.625,0.740820223011
Photon proxy,1,1.45555555556,1.63333333333,-2.625,-2.5,0.577119410841
Photon proxy,1,1.45555555556,1.63333333333,-2.5,-2.375,0.497859602792
Photon proxy,1,1.45555555556,1.63333333333,-2.375,-2.25,0.32541141356
Photon proxy,1,1.45555555556,1.63333333333,-2.25,-2.125,0.200026854941
Photon proxy,1,1.45555555556,1.63333333333,-2.125,-2,0.106931358872
Photon proxy,1,1.45555555556,1.63333333333,-2,-1.875,0.0427290635353
Photon proxy,1,1.45555555556,1.63333333333,-1.875,-1.75,0.0118694953893
Photon proxy,1,1.45555555556,1.63333333333,-1.75,-1.625,2.5616754103e-06
Photon proxy,1,1.45555555556,1.63333333333,-1.625,-1.5,0
Photon proxy,1,1.63333333333,1.81111111111,-6,-5.875,0
Photon proxy,1,1.63333333333,1.81111111111,-5.875,-5.75,0
Photon proxy,1,1.63333333333,1.81111111111,-5.75,-5.625,0.000943303672854
Photon proxy,1,1.63333333333,1.81111111111,-5.625,-5.5,0.030257185328
Photon proxy,1,1.63333333333,1.81111111111,-5.5,-5.375,0.0974564673953
Photon proxy,1,1.63333333333,1.81111111111,-5.375,-5.25,0.173277136073
Photon proxy,1,1.63333333333,1.81111111111,-5.25,-5.125,0.25666962921
Photon proxy,1,1.63333333333,1.81111111111,-5.125,-5,0.3897465633
Photon proxy,1,1.63333333333,1.81111111111,-5,-4.875,0.439484544562
Photon proxy,1,1.63333333333,1.81111111111,-4.875,-4.75,0.497051823045
Photon proxy,1,1.63333333333,1.81111111111,-4.75,-4.625,0.479460197109
Photon proxy,1,1.63333333333,1.81111111111,-4.625,-4.5,0.595952980813
Photon proxy,1,1.63333333333,1.81111111111,-4.5,-4.375,0.636052296418
Photon proxy,1,1.63333333333,1.81111111111,-4.375,-4.25,0.614588981347
Photon proxy,1,1.63333333333,1.81111111111,-4.25,-4.125,0.684751329112
Photon proxy,1,1.63333333333,1.81111111111,-4.125,-4,0.696110832039
Photon proxy,1,1.63333333333,1.81111111111,-4,-3.875,0.601498866393
