signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,0.1,inclusive,19999,4429.03091824,1828.60096573,10727.4989144,2138.92987665,1,1,14.0614710066
vector,0.1,Qe2,3257,268.583780686,84.0229388431,858.54230096,129.708255259,0.0606416585579,0.0606416585579,14.0614710066
vector,0.1,Qe2+pt,219,0.921136130545,0.0543908125248,15.5999098305,0.444848009973,0.000207976902295,0.00342960445411,14.0614710066
vector,0.1,Qe2+pt+eta,128,0.622545981202,0.00764579395881,50.6897649609,0.300648657317,0.000140560315043,0.675845795816,14.0614710066
vector,0.1,all_Table_I_cuts,58,0.399701492697,0.00610861823084,26.1534241013,0.193029464064,9.024581225e-05,0.642043326543,14.0614710066
