signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,3.981,inclusive,20000,5216.80177616,2302.9056736,11817.688012,0.342432570643,1,1,0.00201479945889
vector,3.981,Qe2,7414,1699.64484175,687.446786828,4202.20538293,0.111565241946,0.325802074657,0.325802074657,0.00201479945889
vector,3.981,Qe2+pt,1477,320.738510368,122.452791382,840.104916123,0.0210533804661,0.0614818281642,0.188709136456,0.00201479945889
vector,3.981,Qe2+pt+eta,1363,314.096816241,121.517264182,811.87484459,0.0206174174966,0.0602086929345,0.979292495559,0.00201479945889
vector,3.981,all_Table_I_cuts,1203,295.798692269,116.286720224,752.423545691,0.0194163226691,0.0567011561797,0.94174368212,0.00201479945889
