signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,0.032,inclusive,19892,4764.50429454,2178.34998168,10420.9614449,20720.5637968,1,1,140.473251948
vector,0.032,Qe2,1020,34.949620765,42.8174478381,28.5275291568,151.993954034,0.0073354159435,0.0073354159435,140.473251948
vector,0.032,Qe2+pt,173,0.0707646015924,0.00106542440371,4.70012590392,0.307751310778,1.48524583499e-05,0.00202476021323,140.473251948
vector,0.032,Qe2+pt+eta,14,0.0564061280898,0.00102973971265,3.08976263323,0.245307109274,1.18388240629e-05,0.797095254131,140.473251948
vector,0.032,all_Table_I_cuts,4,0.0120283360733,4.82088550818e-05,3.0011264206,0.0523105636115,2.52457240664e-06,0.213245200134,140.473251948
