signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,1,inclusive,20000,4684.70336873,1957.59363441,11210.9302294,13.5077216508,1,1,0.0845702736757
vector,1,Qe2,8076,1633.02260317,629.914743115,4233.52977783,4.70860437404,0.348586126941,0.348586126941,0.0845702736757
vector,1,Qe2+pt,728,70.7366820953,16.7716404565,298.341608672,0.203959853386,0.015099500764,0.0433164133539,0.0845702736757
vector,1,Qe2+pt+eta,723,70.7366231572,16.7716404531,298.341111574,0.203959683446,0.0150994881831,0.999999166796,0.0845702736757
vector,1,all_Table_I_cuts,510,55.1028183888,13.9539547043,217.595703779,0.158881678174,0.011762285475,0.778985706829,0.0845702736757
