signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,1.585,inclusive,20000,4801.5179114,2079.41758895,11087.0343581,4.34171726851,1,1,0.0275264344816
vector,1.585,Qe2,8348,1761.63389709,720.510362589,4307.16079671,1.59293716131,0.366891039374,0.366891039374,0.0275264344816
vector,1.585,Qe2+pt,907,161.826895246,61.0702990394,428.816371247,0.146330106138,0.0337032784699,0.0918618195947,0.0275264344816
vector,1.585,Qe2+pt+eta,905,161.813760395,61.0701483243,428.747821506,0.1463182291,0.0337005429076,0.999918833941,0.0275264344816
vector,1.585,all_Table_I_cuts,720,132.97616667,51.278285031,344.837213092,0.12024216712,0.027694610147,0.821785281706,0.0275264344816
