signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,5,inclusive,20000,6351.95791723,3035.89508461,13290.1066268,0.0752651419692,1,1,0.000378157278761
scalar,5,Qe2,6916,1872.29854476,796.407255529,4401.64478207,0.0221850990854,0.294759280391,0.294759280391,0.000378157278761
scalar,5,Qe2+pt,1330,245.340989514,80.7708679121,745.22167078,0.00290707599882,0.0386244670874,0.131037323188,0.000378157278761
scalar,5,Qe2+pt+eta,1189,233.22854067,78.2967774293,694.735517462,0.00276355408104,0.0367175827845,0.950630145951,0.000378157278761
scalar,5,all_Table_I_cuts,1123,232.267851883,78.2409097617,689.515947385,0.00275217075974,0.0365663398451,0.995880912415,0.000378157278761
