signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,10,inclusive,20000,5434.50802976,2476.44134548,11925.9345994,0.0117966789475,1,1,6.86348489073e-05
vector,10,Qe2,10171,2547.36123771,1127.74047164,5754.0271353,0.00552955346096,0.468738149573,0.468738149573,6.86348489073e-05
vector,10,Qe2+pt,2422,502.624333762,200.191601133,1261.94715193,0.00109104593537,0.0924875501168,0.197311761803,6.86348489073e-05
vector,10,Qe2+pt+eta,2412,500.866718497,199.666219991,1256.4342116,0.00108723068238,0.0921641325682,0.996503123413,6.86348489073e-05
vector,10,all_Table_I_cuts,2185,492.794120338,198.202863619,1225.23984066,0.00106970750489,0.090678699459,0.983882741932,6.86348489073e-05
