signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,2.512,inclusive,20000,4873.53508123,2115.80210271,11225.6926853,1.29084725891,1,1,0.00806974302701
vector,2.512,Qe2,9056,1838.27140813,759.510326865,4449.23742369,0.486900692984,0.377194660035,0.377194660035,0.00806974302701
vector,2.512,Qe2+pt,1447,251.783775609,98.182906134,645.6833695,0.0666896597987,0.0516634786479,0.136967683061,0.00806974302701
vector,2.512,Qe2+pt+eta,1430,251.394534947,98.1355500251,643.99916427,0.0665865621021,0.0515836104095,0.998454067738,0.00806974302701
vector,2.512,all_Table_I_cuts,1196,223.434574487,90.3893714902,552.310611889,0.0591808416715,0.0458465099281,0.888780555765,0.00806974302701
