signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,2.512,inclusive,19984,5507.73525551,2453.51726576,12363.9430088,0.572854188851,1,1,0.00318335577521
scalar,2.512,Qe2,8541,2104.16337346,896.757391121,4937.23669973,0.218851986632,0.382037856912,0.382037856912,0.00318335577521
scalar,2.512,Qe2+pt,978,134.473672667,38.1126613736,474.466174461,0.0139864759476,0.0244154205727,0.0639083801016,0.00318335577521
scalar,2.512,Qe2+pt+eta,973,134.466125543,38.1126102681,474.413554762,0.0139856909787,0.0244140502956,0.999943876571,0.00318335577521
scalar,2.512,all_Table_I_cuts,901,132.910742778,37.9245479066,465.8002935,0.0138239171295,0.024131650599,0.988432902643,0.00318335577521
