signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,3.981,inclusive,19998,6122.38094341,2887.00007235,12983.5633796,0.153994013536,1,1,0.000800479459728
scalar,3.981,Qe2,7561,2047.61950735,885.561855705,4734.55989536,0.0515030261993,0.334448236115,0.334448236115,0.000800479459728
scalar,3.981,Qe2+pt,1270,225.678117664,70.8929147678,718.416120415,0.00567639933343,0.036861168841,0.110214869928,0.000800479459728
scalar,3.981,Qe2+pt+eta,1166,217.382910087,69.2659730403,682.230069454,0.00546775300456,0.0355062698804,0.963243190512,0.000800479459728
scalar,3.981,all_Table_I_cuts,1093,215.306649368,69.0023913568,671.816618966,0.00541552957639,0.0351671435276,0.990448831884,0.000800479459728
