signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,6.31,inclusive,20000,5295.26444172,2401.5252042,11675.8406111,0.0748409406559,1,1,0.000446838262468
vector,6.31,Qe2,7676,1619.59142851,665.023415554,3944.33689694,0.0228905935335,0.305856571723,0.305856571723,0.000446838262468
vector,6.31,Qe2+pt,1779,339.611256866,132.277053398,871.926028189,0.00479991626498,0.0641349002687,0.209689462965,0.000446838262468
vector,6.31,Qe2+pt+eta,1779,339.611256866,132.277053398,871.926028189,0.00479991626498,0.0641349002687,1,0.000446838262468
vector,6.31,all_Table_I_cuts,1589,326.865944437,129.216993581,826.836646418,0.00461977961994,0.0617279737461,0.962470877596,0.000446838262468
