signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,0.316,inclusive,20000,4535.43782457,1898.07015835,10837.4267253,190.935214565,1,1,1.24141411512
vector,0.316,Qe2,8509,1604.59069324,621.500936247,4142.73115724,67.5508914803,0.353789591062,0.353789591062,1.24141411512
vector,0.316,Qe2+pt,417,11.4056457975,1.99700377525,65.1419680176,0.480160794136,0.00251478385079,0.007108134084,1.24141411512
vector,0.316,Qe2+pt+eta,139,8.85516376595,1.76376194774,44.4583382821,0.372789278358,0.00195243857561,0.776384250674,1.24141411512
vector,0.316,all_Table_I_cuts,66,6.74417465749,1.57246518251,28.9252139358,0.28391976367,0.00148699528433,0.761609252606,1.24141411512
