signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,0.01,inclusive,18885,4987.7757827,2156.83505466,11534.4505388,179076.826434,1,1,1084.80957964
vector,0.01,Qe2,633,3.18306494651,0.129840358901,78.0335370251,114.282035478,0.000638173222932,0.000638173222932,1084.80957964
vector,0.01,Qe2+pt,245,0.0131216562913,3.60596804105e-05,4.77480282319,0.471108700267,2.63076306213e-06,0.00412233382348,1084.80957964
vector,0.01,Qe2+pt+eta,26,0.00941164670162,3.40358029095e-05,2.60252692941,0.337907695991,1.88694261965e-06,0.717260572345,1084.80957964
vector,0.01,all_Table_I_cuts,11,0.00170654381792,9.2811108165e-07,3.13786987362,0.0612702864761,3.42145255174e-07,0.181322554068,1084.80957964
