signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
vector,5,inclusive,20000,5382.5384375,2421.94582831,11962.1668216,0.166609132307,1,1,0.00096571365349
vector,5,Qe2,7156,1550.70224175,604.965236353,3974.90185892,0.047999871801,0.288098684246,0.288098684246,0.00096571365349
vector,5,Qe2+pt,1640,306.394843297,112.987421472,830.869478888,0.00948403426706,0.0569238560681,0.197584574942,0.00096571365349
vector,5,Qe2+pt+eta,1433,297.882571761,111.992804394,792.318997983,0.00922054851752,0.055342395641,0.972217967363,0.00096571365349
vector,5,all_Table_I_cuts,1274,284.519451949,109.173071435,741.495292505,0.0088069113791,0.0528597157741,0.955139638642,0.00096571365349
